Course Name,Course Description,Credits,Section Type,CRN,Available Seats,Total Seats,Days,Time,Location,Instructor,Requirements
ACTG 211,Intro Accounting I,4.00,Lecture,10053,0,180,1000-1120,mw,182 LIL,Welander J,!$Y
ACTG 211,Intro Accounting I,4.00,+ Lab,16042,0,30,1800-1850,r,245 LIL,Messenger T,!
ACTG 211,Intro Accounting I,4.00,+ Lab,16044,0,30,1600-1650,r,301 CON,Messenger T,!
ACTG 211,Intro Accounting I,4.00,+ Lab,16045,0,30,1700-1750,r,101 PETR,Messenger T,!
ACTG 211,Intro Accounting I,4.00,+ Lab,16046,0,30,0900-0950,f,102 PETR,Sosa Salgado A,!
ACTG 211,Intro Accounting I,4.00,+ Lab,16048,0,30,1000-1050,f,203 CON,Sosa Salgado A,!
ACTG 211,Intro Accounting I,4.00,+ Lab,16049,0,30,1100-1150,f,162 LIL,Sosa Salgado A,!
ACTG 211,Intro Accounting I,4.00,Lecture,10054,1,60,1200-1350,mw,132 LIL,Savage M,!$Y
ACTG 211,Intro Accounting I,4.00,Lecture,10055,1,60,1400-1550,mw,132 LIL,Savage M,!$Y
ACTG 211,Intro Accounting I,4.00,Lecture,10056,1,60,1600-1750,tr,162 LIL,Savage M,!$Y
ACTG 211,Intro Accounting I,4.00,Lecture,16036,2,180,1600-1720,mw,282 LIL,Welander J,!$Y
ACTG 211,Intro Accounting I,4.00,+ Lab,16050,0,30,1800-1850,r,255 LIL,Bahr A,!
ACTG 211,Intro Accounting I,4.00,+ Lab,16052,0,30,1600-1650,r,106 FR,Bahr A,!
ACTG 211,Intro Accounting I,4.00,+ Lab,16053,0,30,1700-1750,r,103 PETR,Bahr A,!
ACTG 211,Intro Accounting I,4.00,+ Lab,16054,0,30,0900-0950,f,107 PETR,Kuchin M,!
ACTG 211,Intro Accounting I,4.00,+ Lab,16055,1,30,1000-1050,f,111 LIL,Kuchin M,!
ACTG 211,Intro Accounting I,4.00,+ Lab,16056,1,30,1100-1150,f,111 LIL,Kuchin M,!
ACTG 213,Intro Accounting II,4.00,Lecture,10059,7,168,0830-0950,mw,123 PAC,Sneed J,!$
ACTG 213,Intro Accounting II,4.00,+ Lab,10060,0,28,0800-0850,r,245 LIL,Dodge K,N/A
ACTG 213,Intro Accounting II,4.00,+ Lab,10061,2,28,0800-0850,r,255 LIL,Kim J,N/A
ACTG 213,Intro Accounting II,4.00,+ Lab,10062,4,28,0800-0850,r,471 MCK,Jackson C,N/A
ACTG 213,Intro Accounting II,4.00,+ Lab,10063,0,28,1600-1650,r,203 CON,Dodge K,N/A
ACTG 213,Intro Accounting II,4.00,+ Lab,10064,1,28,1600-1650,r,123 MCK,Jackson C,N/A
ACTG 213,Intro Accounting II,4.00,+ Lab,10065,0,28,1600-1650,r,103 PETR,Kim J,N/A
ACTG 340,Actg for Entrepreneurs,4.00,Lecture,10067,1,46,0800-0950,mw,162 LIL,Temmesfeld D,!$
ACTG 350,Intermed Accounting I,4.00,Lecture,10068,4,46,0800-0950,tr,275 LIL,Matsunaga S,!$M
ACTG 350,Intermed Accounting I,4.00,Lecture,10069,0,46,1000-1150,tr,275 LIL,Matsunaga S,!$M
ACTG 350,Intermed Accounting I,4.00,Lecture,15336,1,46,1200-1350,mw,285 LIL,Kim J,!$M
ACTG 352,Intermediate Actg III,4.00,Lecture,10070,4,60,1200-1350,mw,262 LIL,Sneed J,!$M
ACTG 401,Research,1.00-21.00,Lecture,10071,20,20,tba,tba,tba,STAFF,$
ACTG 403,Thesis,1.00-12.00,Lecture,10072,20,20,tba,tba,tba,STAFF,$
ACTG 405,Reading,1.00-12.00,Lecture,10073,20,20,tba,tba,tba,STAFF,$
ACTG 406,Practicum,1.00-12.00,Lecture,10075,20,20,tba,tba,tba,STAFF,$
ACTG 450,Adv Financial Actg,4.00,Lecture,10077,1,46,1200-1350,tr,275 LIL,Clement R,!$M
ACTG 470,Federal Taxation,4.00,Lecture,10078,3,46,1400-1550,mw,285 LIL,Tomcal M,!$M
ACTG 480,Acc Data Analytics I,4.00,Lecture,10079,0,6,1600-1750,mw,285 LIL,Peel S,!$M
AEIS 101,Intro Acad Oral Comm,4.00,Lecture,10121,3,17,1200-1350,mw,116 AGH,Rice J,!$8
AEIS 110,Intro Academic Writing,4.00,Lecture,10122,1,17,1000-1150,t,116 AGH,Sepulveda J,!$8
AEIS 110,Intro Academic Writing,4.00,Lecture,10122,1,17,-,N/A,N/A,N/A,N/A
ANTH 145,Princ of Archaeology >3,4.00,Lecture,10125,1,200,1000-1120,tr,282 LIL,Sanchez G,!U
ANTH 145,Princ of Archaeology >3,4.00,+ Lab,15529,0,25,0900-0950,f,204 CON,Olajide V,N/A
ANTH 145,Princ of Archaeology >3,4.00,+ Lab,15530,0,25,1000-1050,f,204 CON,Olajide V,!U
ANTH 145,Princ of Archaeology >3,4.00,+ Lab,15531,0,25,1100-1150,f,204 CON,Olajide V,N/A
ANTH 145,Princ of Archaeology >3,4.00,+ Lab,15532,0,25,1200-1250,f,204 CON,Durga R,N/A
ANTH 145,Princ of Archaeology >3,4.00,+ Lab,15533,0,25,1300-1350,f,204 CON,Durga R,N/A
ANTH 145,Princ of Archaeology >3,4.00,+ Lab,15534,1,25,1400-1450,f,204 CON,Durga R,N/A
ANTH 145,Princ of Archaeology >3,4.00,+ Lab,15535,0,25,1500-1550,f,204 CON,Durga R,N/A
ANTH 145,Princ of Archaeology >3,4.00,+ Lab,15536,0,25,0800-0850,f,204 CON,Olajide V,N/A
ANTH 150,World Archaeology >2 >GP >IC,4.00,Lecture,15537,2,200,1400-1520,mw,180 PLC,Carter A,N/A
ANTH 150,World Archaeology >2 >GP >IC,4.00,+ Lab,15538,0,25,0900-0950,r,204 CON,Bhattacharyya T,N/A
ANTH 150,World Archaeology >2 >GP >IC,4.00,+ Lab,15539,0,25,1000-1050,r,204 CON,Bhattacharyya T,N/A
ANTH 150,World Archaeology >2 >GP >IC,4.00,+ Lab,15540,0,25,1100-1150,r,204 CON,Bhattacharyya T,N/A
ANTH 150,World Archaeology >2 >GP >IC,4.00,+ Lab,15541,0,25,1200-1250,r,204 CON,Bhattacharyya T,N/A
ANTH 150,World Archaeology >2 >GP >IC,4.00,+ Lab,15542,0,25,1300-1350,r,204 CON,Bhattacharyya T,N/A
ANTH 150,World Archaeology >2 >GP >IC,4.00,+ Lab,15543,1,25,1400-1450,r,204 CON,Bhattacharyya T,N/A
ANTH 150,World Archaeology >2 >GP >IC,4.00,+ Lab,15544,1,25,1500-1550,r,204 CON,Bhattacharyya T,N/A
ANTH 150,World Archaeology >2 >GP >IC,4.00,+ Lab,15545,0,25,1600-1650,r,204 CON,Bhattacharyya T,N/A
ANTH 171,Intro Monkeys & Apes >3,4.00,Lecture,10137,4,160,1600-1720,mw,177 LA,Ting N,!$8U
ANTH 171,Intro Monkeys & Apes >3,4.00,+ Lab,10138,1,20,0900-0950,r,368 CON,Epstein S,N/A
ANTH 171,Intro Monkeys & Apes >3,4.00,+ Lab,10139,0,20,1000-1050,r,368 CON,Epstein S,N/A
ANTH 171,Intro Monkeys & Apes >3,4.00,+ Lab,10140,3,20,1100-1150,r,368 CON,Epstein S,!U
ANTH 171,Intro Monkeys & Apes >3,4.00,+ Lab,10141,0,20,1200-1250,r,368 CON,Epstein S,N/A
ANTH 171,Intro Monkeys & Apes >3,4.00,+ Lab,10142,0,20,1300-1350,r,368 CON,Walker T,N/A
ANTH 171,Intro Monkeys & Apes >3,4.00,+ Lab,10143,0,20,1400-1450,r,368 CON,Walker T,N/A
ANTH 171,Intro Monkeys & Apes >3,4.00,+ Lab,10144,0,20,1500-1550,r,368 CON,Walker T,N/A
ANTH 171,Intro Monkeys & Apes >3,4.00,+ Lab,10145,0,20,1600-1650,r,368 CON,Walker T,N/A
ANTH 175,Evolutionary Medicine >3,4.00,Lecture,10150,1,240,1400-1520,mw,282 LIL,Snodgrass J,$
ANTH 175,Evolutionary Medicine >3,4.00,+ Lab,10151,0,20,0900-0950,t,204 CON,Cotton S,N/A
ANTH 175,Evolutionary Medicine >3,4.00,+ Lab,10152,0,20,1000-1050,t,204 CON,Cotton S,N/A
ANTH 175,Evolutionary Medicine >3,4.00,+ Lab,10153,1,20,1100-1150,t,204 CON,Cotton S,N/A
ANTH 175,Evolutionary Medicine >3,4.00,+ Lab,10154,0,20,1200-1250,t,204 CON,Cotton S,N/A
ANTH 175,Evolutionary Medicine >3,4.00,+ Lab,10155,0,20,1300-1350,t,204 CON,Cotton S,N/A
ANTH 175,Evolutionary Medicine >3,4.00,+ Lab,10156,0,20,1400-1450,t,204 CON,Cotton S,N/A
